,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,doa,label,id
20170102T111442_20170102T111441_T30TVT,4340.167271407839,22.42319787131108,3772.4032414126746,3163.5562409288827,3984.2998306724726,3448.026487663281,3620.2249637155305,3648.6965408805027,3991.8883647798743,4218.4850024189645,3932.683357522981,4379.317005321723,920.9207789066277,0.0,0.0,1024.0,2017-01-02,PPH,2913870
20170102T111442_20170102T111441_T30UVU,4340.977019835512,22.488630865989357,3772.344823415577,3163.9222302854378,3984.195452346396,3448.026608611515,3620.4383164005812,3648.845428156749,3991.8492985002426,4218.839985486212,3932.4950411224,4379.022133526852,920.0873246250603,0.0,0.0,1024.0,2017-01-02,PPH,2913870
20170105T112442_20170105T112737_T30TVT,3679.7244799225928,28.14187227866473,3095.938800193517,2631.040033865506,3391.7570149975813,2885.901669085631,2956.128326076439,3091.8477261731987,3368.256531204645,3528.264755684567,3458.9129172714083,3616.10099177552,1649.4215045960332,0.0,0.0,1024.0,2017-01-05,PPH,2913870
20170105T112442_20170105T112737_T30UVU,3680.637880986937,28.14187227866473,3095.789550072569,2630.809869375907,3391.7560474117076,2885.9123125302367,2956.1861393323657,3091.8154329946783,3368.083575229802,3528.1208272859217,3458.9490807934208,3615.871311078858,1649.7330672472183,0.0,0.0,1024.0,2017-01-05,PPH,2913870
20170112T111421_20170112T111418_T30TVT,7785.610788582486,436.74298500241895,2244.8356313497834,2210.261006289309,7564.024673439767,6866.813981615872,7510.103289791969,7566.675858732464,7820.44000967586,8064.353410740204,7638.023584905662,8208.51717464925,3534.455007256894,0.0,0.0,1024.0,2017-01-12,PPH,2913870
20170112T111421_20170112T111418_T30UVU,7785.610788582486,436.80599903241415,2244.8047895500736,2210.270561199807,7564.049225931301,6866.7980164489645,7510.159167876149,7566.678277697149,7820.451983551041,8064.319787131108,7637.9761731978715,8208.50556361877,3534.455007256894,0.0,0.0,1024.0,2017-01-12,PPH,2913870
20170115T112411_20170115T112412_T30TVT,4851.020803096274,193.34046927914855,3329.865626511853,2601.3782051282055,4551.476294146105,3931.136429608128,4171.417271407838,4291.582244799226,4433.620222544752,4568.268505079827,4355.993952588294,4628.083091436865,2420.3073294629903,0.0,0.0,1024.0,2017-01-15,PPH,2913870
20170115T112411_20170115T112412_T30UVU,4851.625423318821,193.34046927914855,3329.8592162554423,2601.3785679729076,4551.414610546686,3931.235002418965,4171.442912433479,4291.55466860184,4433.649612965652,4568.228108369618,4355.956942428642,4627.93190614417,2421.0841799709724,0.0,0.0,1024.0,2017-01-15,PPH,2913870
20170125T112331_20170125T112333_T30TVT,1605.1710208030966,16.661828737300436,1563.5031446540888,851.5301161103048,1247.7357281083698,957.3826802128686,775.2691098209967,1077.2856797290756,1691.878205128205,1966.063981615869,2007.0360425737786,2232.790396710208,1127.7443154329944,0.0,0.0,0.0,2017-01-25,PPH,2913870
20170125T112331_20170125T112333_T30UVU,1605.1710208030966,16.676705370101594,1563.2721335268507,851.5705128205128,1247.826923076923,957.3870343492983,775.2704402515724,1077.4186018384128,1691.6953313981617,1965.7295597484283,2007.2088776003873,2232.4395258829227,1127.593855829705,0.0,0.0,0.0,2017-01-25,PPH,2913870
